Qty;Value;Parts;MOUSER_PART_NUMBER
4;10uF/6.3V(20%);C1, C2, C6, C13;963-JMK212BJ106MG-T
1; 0.47uF/16V(5%);C10;77-VJ0805Y474JXJTBC 
1;1uF/10V(10%);C11;710-885012207078 
2; 0.1uF/50V(10%) DNP;C3, C4; 80-C0805C104K5RACLR
7; 0.1uF/50V(10%);C5, C9, C12, C14, C15, C16, C19; 80-C0805C104K5RACLR
1;22uF/6.3V(20%);C7;710-885012107005
1;1.5nF/50V(5%);C8;80-C0805C152J5GAC
2;0ZCK0050FF2E;F1, F2;530-0ZCK0050FF2E 
1;DIO6605BFN8;IC1;453-DIO6605BFN8
1;LTC3440EMS#TRPBF;IC2;584-LTC3440EMS#TRPBF
1;MAX17261METD+;IC3;700-MAX17261METD+
1;ESP32-C3-MINI-1-N4;IC4;356-ESP32-C3-MINI1N4
1;SP3076EEN-L;IC5;701-SP3076EEN-L
1;AT24C16D-MAHM-E;IC6;579-AT24C16D-MAHM-E
1;BMP384;IC7;262-BMP384
1;RECE-20279-001E-01;J1;960-RECE20279001E01 
1;SRR6038-100Y;L1;652-SRR6038-100Y
2;S8050G;Q1, Q2;750-SS8050-G
1;BSD235NH6327XTSA1;Q3;726-BSD235NH6327XTS
1;180(1%);R1;652-CR0805FX-1800ELF
1;100mOhm, 3W, 1%;R10;652-CRA2512FZR100ELF 
1;300k(1%);R11;667-ERJ-P06F3003V
2;22k(1%);R15, R16;603-RC0805FR-1322KL
2;4k7(1%);R2, R3;603-RC0805FR-104K7L
2;100(1%);R24, R25;603-RC0805FR-13100RL
9;10k(1%);R4, R13, R14, R18, R19, R20, R21, R22, R23;71-CRCW080510K0FKEAC
1;1M(1%);R5;603-RC0805FR-131ML
1;340k(1%);R6;RC0805FR-13330KL
2;200k(1%);R7, R12;603-RC0805FR-13200KL
1;15k(1%);R8;652-CR0805FX-1502ELF
1;60.4k(1%);R9;603-RC0805FR-0760K4L
1;PTS526_SK15_SMTR2_LFS;S1;611-PTS526SK15SMR2L
1;PinHeader 11 Pos;SV2;517-2312-6111TG
1;4.7uH;U$1;963-MBMK2520T4R7M
1;RFM95W;U$2;223-RFM95W-915S2
1;1042P;U1;534-1042P
4;WAGO SREW CLAMP;X1;710-691216710002
