Qty;Value;Parts;MOUSER_PART_NUMBER
2;1uF+/-10% 16V X7R;C1, C2;710-885012207078 
1;LPS28DFWTR;C11;511-LPS28DFWTR
4;0.1uF X7R 0805 10%;C3, C5, C6, C8; 80-C0805C104K5RACLR
1;TAJB476K010SNJ;C4;581-TAJB476K010SNJ
1;0.01uF X7R 0805 10%;C7;710-885382207009
1;AP7347DQ-33W5-7SOT23-5;IC1;621-AP7347DQ-33W5-7
1;SP307 0 or 3 or 6  EEN-L;IC2;701-SP3076EEN-L
1;ATTINY424-XFR;IC3;579-ATTINY824-XFR
2;100 Ohm 1% 1/8W;R1, R2;603-RC0805FR-13100RL
2;4k7 Ohm 1% 1/8W;R3, R4;71-CRCW08054K70FKEAC
1;10k;R5;71-CRCW080510K0FKEAC
1;SZSMF6.0AT1G;Z1;863-SZSMF6.0AT1G
